time,G(i),H_sun,T2m,WS10m,Int
20200701:1409,796.83,57.68,43.36,3.17,0.0
20200701:1509,637.68,45.06,43.38,2.76,0.0
20200701:1609,370.05,32.46,43.38,2.41,0.0
20200701:1709,180.66,20.09,43.12,2.0,0.0
20200701:1809,48.87,8.11,42.68,1.38,0.0
20200701:1909,0.0,0.0,41.77,2.69,0.0
20200701:2009,0.0,0.0,39.8,3.17,0.0
20200701:2109,0.0,0.0,37.82,3.72,0.0
20200701:2209,0.0,0.0,36.31,4.21,0.0
20200701:2309,0.0,0.0,35.21,4.48,0.0
20200702:0009,0.0,0.0,33.94,4.62,0.0
20200702:0109,0.0,0.0,32.8,5.45,0.0
20200702:0209,0.0,0.0,32.17,5.17,0.0
20200702:0309,0.0,0.0,31.6,4.48,0.0
20200702:0409,0.0,0.0,30.71,4.41,0.0
20200702:0509,22.63,4.42,29.82,4.62,0.0
20200702:0609,127.58,16.23,30.32,4.48,0.0
20200702:0709,303.05,28.5,33.27,3.59,0.0
20200702:0809,533.94,41.05,36.65,3.66,0.0
20200702:0909,741.95,53.69,39.41,3.59,0.0
20200702:1009,902.36,66.12,41.6,3.66,0.0
20200702:1109,987.25,77.14,42.96,3.31,0.0
20200702:1209,993.37,79.53,43.45,2.21,0.0
20200702:1309,936.74,69.9,43.73,1.1,0.0
20200702:1409,787.57,57.69,43.96,0.55,0.0
20200702:1509,614.73,45.07,44.06,1.24,0.0
20200702:1609,395.1,32.47,44.0,2.14,0.0
20200702:1709,184.6,20.09,43.75,2.41,0.0
20200702:1809,46.16,8.11,43.27,2.69,0.0
20200702:1909,0.0,0.0,42.07,1.17,0.0
20200702:2009,0.0,0.0,40.34,0.83,0.0
20200702:2109,0.0,0.0,38.13,1.1,0.0
20200702:2209,0.0,0.0,36.64,1.17,0.0
20200702:2309,0.0,0.0,36.29,0.69,0.0
20200703:0009,0.0,0.0,35.93,0.97,0.0
20200703:0109,0.0,0.0,34.09,1.45,0.0
20200703:0209,0.0,0.0,31.55,2.21,0.0
20200703:0309,0.0,0.0,30.48,2.28,0.0
20200703:0409,0.0,0.0,29.65,2.34,0.0
20200703:0509,22.63,4.34,29.47,2.14,0.0
20200703:0609,122.67,16.15,28.92,2.9,0.0
20200703:0709,322.23,28.43,33.45,1.38,0.0
20200703:0809,535.01,40.98,36.18,2.55,0.0
20200703:0909,755.46,53.62,38.32,2.83,0.0
20200703:1009,914.37,66.04,39.71,2.21,0.0
20200703:1109,996.25,77.06,40.83,1.59,0.0
20200703:1209,1003.48,79.48,42.01,1.24,0.0
20200703:1309,950.94,69.9,42.76,1.17,0.0
20200703:1409,799.46,57.7,43.45,2.0,0.0
20200703:1509,619.83,45.08,43.73,2.83,0.0
20200703:1609,387.48,32.48,43.74,3.38,0.0
20200703:1709,156.46,20.09,43.59,3.86,0.0
20200703:1809,36.2,8.11,43.0,4.62,0.0
20200703:1909,0.0,0.0,41.45,4.55,0.0
20200703:2009,0.0,0.0,40.06,4.07,0.0
20200703:2109,0.0,0.0,38.87,4.48,0.0
20200703:2209,0.0,0.0,37.5,5.66,0.0
20200703:2309,0.0,0.0,36.02,6.55,0.0
20200704:0009,0.0,0.0,34.47,7.79,0.0
20200704:0109,0.0,0.0,33.23,8.55,0.0
20200704:0209,0.0,0.0,31.88,8.62,0.0
20200704:0309,0.0,0.0,30.58,8.41,0.0
20200704:0409,0.0,0.0,29.53,8.0,0.0
20200704:0509,19.91,4.26,28.88,7.31,0.0
20200704:0609,124.29,16.08,28.95,6.69,0.0
20200704:0709,291.54,28.36,30.0,8.14,0.0
20200704:0809,493.68,40.91,31.61,8.83,0.0
20200704:0909,732.02,53.55,33.3,9.17,0.0
20200704:1009,891.33,65.97,35.05,9.17,0.0
20200704:1109,975.11,76.96,36.53,8.97,0.0
20200704:1209,972.27,79.42,37.55,8.62,0.0
20200704:1309,922.42,69.89,38.17,8.14,0.0
20200704:1409,782.97,57.7,38.44,7.79,0.0
20200704:1509,613.33,45.09,38.39,7.52,0.0
20200704:1609,400.33,32.48,38.11,7.24,0.0
20200704:1709,184.21,20.09,37.55,6.83,0.0
20200704:1809,48.87,8.1,36.71,6.34,0.0
20200704:1909,0.0,0.0,35.1,5.38,0.0
20200704:2009,0.0,0.0,33.69,4.97,0.0
20200704:2109,0.0,0.0,32.4,4.55,0.0
20200704:2209,0.0,0.0,31.16,4.07,0.0
20200704:2309,0.0,0.0,29.92,3.72,0.0
20200705:0009,0.0,0.0,28.75,3.59,0.0
20200705:0109,0.0,0.0,27.7,3.86,0.0
20200705:0209,0.0,0.0,26.73,4.21,0.0
20200705:0309,0.0,0.0,25.72,4.41,0.0
20200705:0409,0.0,0.0,24.65,4.28,0.0
20200705:0509,19.91,4.18,23.66,4.07,0.0
20200705:0609,123.84,16.0,23.98,3.93,0.0
20200705:0709,329.73,28.28,26.56,4.07,0.0
20200705:0809,547.13,40.84,28.97,4.55,0.0
20200705:0909,757.41,53.48,30.86,4.9,0.0
20200705:1009,899.5,65.89,32.45,4.97,0.0
20200705:1109,964.63,76.87,33.83,4.55,0.0
20200705:1209,982.67,79.35,35.09,4.07,0.0
20200705:1309,950.09,69.87,36.25,3.86,0.0
20200705:1409,795.33,57.7,37.26,3.79,0.0
20200705:1509,631.73,45.09,37.96,4.07,0.0
20200705:1609,411.74,32.48,38.25,4.21,0.0
20200705:1709,186.37,20.09,38.11,4.14,0.0
20200705:1809,47.97,8.08,37.5,3.86,0.0
20200705:1909,0.0,0.0,35.73,4.14,0.0
20200705:2009,0.0,0.0,33.67,5.17,0.0
20200705:2109,0.0,0.0,31.83,4.62,0.0
20200705:2209,0.0,0.0,30.36,3.45,0.0
20200705:2309,0.0,0.0,29.08,2.69,0.0
20200706:0009,0.0,0.0,27.7,2.28,0.0
20200706:0109,0.0,0.0,26.26,1.93,0.0
20200706:0209,0.0,0.0,26.17,1.45,0.0
20200706:0309,0.0,0.0,27.15,0.9,0.0
20200706:0409,0.0,0.0,26.66,0.76,0.0
20200706:0509,19.91,4.09,26.09,0.9,0.0
20200706:0609,121.78,15.92,25.9,0.97,0.0
20200706:0709,332.55,28.2,27.13,0.9,0.0
20200706:0809,557.81,40.76,29.19,1.17,0.0
20200706:0909,762.06,53.4,31.06,1.24,0.0
20200706:1009,924.48,65.81,32.78,1.24,0.0
20200706:1109,997.93,76.77,34.17,0.9,0.0
20200706:1209,986.41,79.28,35.3,0.69,0.0
20200706:1309,949.5,69.85,36.27,0.9,0.0
20200706:1409,798.9,57.69,37.16,1.86,0.0
20200706:1509,632.21,45.08,37.84,2.97,0.0
20200706:1609,412.21,32.48,38.09,3.86,0.0
20200706:1709,187.54,20.08,37.88,4.48,0.0
20200706:1809,46.16,8.07,37.24,4.83,0.0
20200706:1909,0.0,0.0,35.7,4.62,0.0
20200706:2009,0.0,0.0,34.05,4.34,0.0
20200706:2109,0.0,0.0,32.47,3.66,0.0
20200706:2209,0.0,0.0,30.93,2.76,0.0
20200706:2309,0.0,0.0,29.43,2.55,0.0
20200707:0009,0.0,0.0,28.17,3.45,0.0
20200707:0109,0.0,0.0,27.31,4.83,0.0
20200707:0209,0.0,0.0,26.54,6.0,0.0
20200707:0309,0.0,0.0,25.41,5.86,0.0
20200707:0409,0.0,0.0,24.49,5.72,0.0
20200707:0509,19.91,4.0,23.81,5.86,0.0
20200707:0609,117.7,15.83,24.05,5.86,0.0
20200707:0709,332.34,28.13,25.61,7.17,0.0
20200707:0809,548.8,40.68,27.22,7.24,0.0
20200707:0909,753.31,53.32,28.79,6.69,0.0
20200707:1009,896.28,65.72,30.27,6.0,0.0
20200707:1109,961.35,76.67,31.58,5.52,0.0
20200707:1209,979.52,79.2,32.7,5.31,0.0
20200707:1309,929.67,69.83,33.57,5.31,0.0
20200707:1409,789.99,57.68,34.22,5.38,0.0
20200707:1509,622.02,45.08,34.51,5.38,0.0
20200707:1609,406.97,32.47,34.55,5.45,0.0
20200707:1709,186.88,20.06,34.27,5.45,0.0
20200707:1809,46.16,8.05,33.7,5.31,0.0
20200707:1909,0.0,0.0,32.25,4.41,0.0
20200707:2009,0.0,0.0,31.04,3.86,0.0
20200707:2109,0.0,0.0,29.79,3.52,0.0
20200707:2209,0.0,0.0,28.56,3.17,0.0
20200707:2309,0.0,0.0,27.29,2.62,0.0
20200708:0009,0.0,0.0,25.73,2.0,0.0
20200708:0109,0.0,0.0,25.88,1.38,0.0
20200708:0209,0.0,0.0,26.73,1.03,0.0
20200708:0309,0.0,0.0,26.01,1.24,0.0
20200708:0409,0.0,0.0,22.93,2.07,0.0
20200708:0509,19.01,3.91,21.15,2.83,0.0
20200708:0609,116.5,15.75,21.19,2.69,0.0
20200708:0709,334.49,28.04,24.55,2.07,0.0
20200708:0809,563.84,40.61,28.82,2.55,0.0
20200708:0909,782.45,53.25,30.56,3.03,0.0
20200708:1009,920.95,65.64,31.92,3.24,0.0
20200708:1109,994.34,76.56,33.16,3.24,0.0
20200708:1209,1003.63,79.11,34.23,3.17,0.0
20200708:1309,955.7,69.8,35.05,3.17,0.0
20200708:1409,809.1,57.67,35.65,3.17,0.0
20200708:1509,638.91,45.07,36.01,3.24,0.0
20200708:1609,419.49,32.45,36.09,3.45,0.0
20200708:1709,188.74,20.04,35.87,3.59,0.0
20200708:1809,45.25,8.02,35.33,3.59,0.0
20200708:1909,0.0,0.0,33.89,3.1,0.0
20200708:2009,0.0,0.0,32.65,3.03,0.0
20200708:2109,0.0,0.0,31.43,3.1,0.0
20200708:2209,0.0,0.0,30.22,3.1,0.0
20200708:2309,0.0,0.0,29.04,3.17,0.0
20200709:0009,0.0,0.0,27.9,2.97,0.0
20200709:0109,0.0,0.0,26.67,2.62,0.0
20200709:0209,0.0,0.0,25.42,2.34,0.0
20200709:0309,0.0,0.0,24.97,1.93,0.0
20200709:0409,0.0,0.0,25.76,1.45,0.0
20200709:0509,18.1,3.82,26.48,1.17,0.0
20200709:0609,117.02,15.66,26.37,1.17,0.0
20200709:0709,330.17,27.96,28.43,0.07,0.0
20200709:0809,551.84,40.53,30.3,1.52,0.0
20200709:0909,755.76,53.16,32.13,2.97,0.0
20200709:1009,890.19,65.55,33.55,3.45,0.0
20200709:1109,960.49,76.45,34.72,3.59,0.0
20200709:1209,984.29,79.02,35.73,4.14,0.0
20200709:1309,929.03,69.76,36.47,4.76,0.0
20200709:1409,793.59,57.65,36.9,4.9,0.0
20200709:1509,626.47,45.05,37.05,4.76,0.0
20200709:1609,410.7,32.44,36.93,4.55,0.0
20200709:1709,188.22,20.02,36.57,4.41,0.0
20200709:1809,45.25,7.99,35.89,4.28,0.0
20200709:1909,0.0,0.0,34.8,3.38,0.0
20200709:2009,0.0,0.0,33.49,3.03,0.0
20200709:2109,0.0,0.0,32.24,3.03,0.0
20200709:2209,0.0,0.0,31.02,3.1,0.0
20200709:2309,0.0,0.0,29.85,3.24,0.0
20200710:0009,0.0,0.0,28.74,3.24,0.0
20200710:0109,0.0,0.0,27.6,3.1,0.0
20200710:0209,0.0,0.0,26.39,2.83,0.0
20200710:0309,0.0,0.0,25.16,2.48,0.0
20200710:0409,0.0,0.0,24.9,2.14,0.0
20200710:0509,17.2,3.72,25.15,1.79,0.0
20200710:0609,117.83,15.57,25.82,1.59,0.0
20200710:0709,329.89,27.88,28.69,1.1,0.0
20200710:0809,553.55,40.45,31.35,2.0,0.0
20200710:0909,775.53,53.08,33.5,3.17,0.0
20200710:1009,921.58,65.46,35.06,4.07,0.0
20200710:1109,980.63,76.33,36.21,4.48,0.0
20200710:1209,1015.29,78.92,37.05,4.76,0.0
20200710:1309,953.11,69.72,37.69,4.83,0.0
20200710:1409,813.94,57.63,38.1,4.83,0.0
20200710:1509,643.35,45.03,38.22,4.76,0.0
20200710:1609,415.83,32.41,38.11,4.69,0.0
20200710:1709,188.06,19.99,37.76,4.69,0.0
20200710:1809,46.16,7.95,37.1,4.48,0.0
20200710:1909,0.0,0.0,35.7,3.72,0.0
20200710:2009,0.0,0.0,34.36,3.52,0.0
20200710:2109,0.0,0.0,33.13,3.66,0.0
20200710:2209,0.0,0.0,31.98,3.86,0.0
20200710:2309,0.0,0.0,30.96,4.07,0.0
20200711:0009,0.0,0.0,29.99,4.0,0.0
20200711:0109,0.0,0.0,29.01,3.79,0.0
20200711:0209,0.0,0.0,27.98,3.38,0.0
20200711:0309,0.0,0.0,26.74,2.83,0.0
20200711:0409,0.0,0.0,25.54,2.14,0.0
20200711:0509,15.39,3.62,26.72,1.38,0.0
20200711:0609,117.14,15.48,27.6,0.62,0.0
20200711:0709,321.94,27.79,27.63,1.45,0.0
20200711:0809,540.83,40.36,31.1,2.41,0.0
20200711:0909,747.55,53.0,33.26,3.52,0.0
20200711:1009,886.05,65.37,35.06,4.21,0.0
20200711:1109,957.34,76.21,36.31,4.14,0.0
20200711:1209,985.76,78.81,37.25,3.93,0.0
20200711:1309,927.03,69.67,38.02,3.86,0.0
20200711:1409,791.49,57.6,38.56,3.79,0.0
20200711:1509,615.36,45.01,38.79,3.79,0.0
20200711:1609,402.1,32.39,38.75,3.79,0.0
20200711:1709,186.69,19.96,38.43,3.93,0.0
20200711:1809,47.06,7.91,37.85,3.93,0.0
20200711:1909,0.0,0.0,36.78,3.59,0.0
20200711:2009,0.0,0.0,35.36,3.52,0.0
20200711:2109,0.0,0.0,34.07,3.66,0.0
20200711:2209,0.0,0.0,32.83,3.79,0.0
20200711:2309,0.0,0.0,31.72,4.0,0.0
20200712:0009,0.0,0.0,30.69,4.07,0.0
20200712:0109,0.0,0.0,29.75,3.79,0.0
20200712:0209,0.0,0.0,28.67,3.1,0.0
20200712:0309,0.0,0.0,27.27,2.34,0.0
20200712:0409,0.0,0.0,26.69,2.07,0.0
20200712:0509,14.48,3.52,25.79,2.34,0.0
20200712:0609,116.23,15.39,25.82,2.55,0.0
20200712:0709,322.38,27.71,28.61,2.34,0.0
20200712:0809,549.27,40.28,32.66,3.59,0.0
20200712:0909,760.8,52.91,35.1,4.83,0.0
20200712:1009,920.52,65.27,37.05,5.24,0.0
20200712:1109,976.03,76.09,38.43,4.62,0.0
20200712:1209,1009.87,78.7,39.47,3.93,0.0
20200712:1309,953.17,69.62,40.2,3.31,0.0
20200712:1409,806.37,57.57,40.61,2.62,0.0
20200712:1509,637.36,44.98,40.75,2.14,0.0
20200712:1609,418.14,32.36,40.76,1.72,0.0
20200712:1709,187.85,19.93,40.58,1.59,0.0
20200712:1809,47.06,7.87,40.2,1.79,0.0
20200712:1909,0.0,0.0,38.88,2.83,0.0
20200712:2009,0.0,0.0,37.18,3.31,0.0
20200712:2109,0.0,0.0,35.61,3.59,0.0
20200712:2209,0.0,0.0,34.21,4.07,0.0
20200712:2309,0.0,0.0,32.99,4.14,0.0
20200713:0009,0.0,0.0,31.92,4.21,0.0
20200713:0109,0.0,0.0,30.76,4.0,0.0
20200713:0209,0.0,0.0,29.67,4.21,0.0
20200713:0309,0.0,0.0,29.03,3.38,0.0
20200713:0409,0.0,0.0,28.17,2.07,0.0
20200713:0509,13.58,3.42,30.86,0.9,0.0
20200713:0609,115.62,15.29,30.44,1.24,0.0
20200713:0709,223.75,27.62,29.89,2.48,0.0
20200713:0809,496.27,40.19,32.88,4.0,0.0
20200713:0909,690.76,52.83,34.29,3.38,0.0
20200713:1009,667.97,65.17,36.04,1.93,0.0
20200713:1109,829.74,75.96,37.88,1.17,0.0
20200713:1209,840.94,78.57,39.59,2.07,0.0
20200713:1309,911.58,69.56,40.49,2.9,0.0
20200713:1409,814.38,57.53,40.58,3.38,0.0
20200713:1509,495.49,44.95,40.39,3.03,0.0
20200713:1609,415.17,32.32,40.23,4.0,0.0
20200713:1709,182.71,19.88,39.38,6.41,0.0
20200713:1809,41.63,7.82,37.98,7.79,0.0
20200713:1909,0.0,0.0,36.34,7.66,0.0
20200713:2009,0.0,0.0,35.2,5.59,0.0
20200713:2109,0.0,0.0,34.04,4.62,0.0
20200713:2209,0.0,0.0,33.26,4.55,0.0
20200713:2309,0.0,0.0,32.56,5.59,0.0
20200714:0009,0.0,0.0,31.8,6.41,0.0
20200714:0109,0.0,0.0,30.73,5.86,0.0
20200714:0209,0.0,0.0,29.77,4.9,0.0
20200714:0309,0.0,0.0,28.72,4.14,0.0
20200714:0409,0.0,0.0,27.73,3.59,0.0
20200714:0509,14.48,3.31,26.87,3.31,0.0
20200714:0609,114.41,15.2,26.78,2.9,0.0
20200714:0709,318.37,27.53,29.21,3.38,0.0
20200714:0809,537.25,40.11,31.54,3.93,0.0
20200714:0909,741.84,52.74,33.5,3.93,0.0
20200714:1009,883.55,65.07,35.25,4.41,0.0
20200714:1109,944.45,75.83,36.81,4.9,0.0
20200714:1209,889.13,78.45,38.19,5.17,0.0
20200714:1309,920.17,69.5,39.24,4.76,0.0
20200714:1409,803.15,57.49,39.86,3.66,0.0
20200714:1509,605.51,44.91,39.97,2.41,0.0
20200714:1609,416.78,32.29,40.01,1.72,0.0
20200714:1709,164.84,19.84,39.77,0.97,0.0
20200714:1809,47.06,7.76,39.38,0.9,0.0
20200714:1909,0.0,0.0,38.21,3.1,0.0
20200714:2009,0.0,0.0,36.55,4.34,0.0
20200714:2109,0.0,0.0,35.09,5.52,0.0
20200714:2209,0.0,0.0,33.7,5.59,0.0
20200714:2309,0.0,0.0,32.78,4.76,0.0
20200715:0009,0.0,0.0,31.79,4.07,0.0
20200715:0109,0.0,0.0,30.77,3.59,0.0
20200715:0209,0.0,0.0,29.62,3.1,0.0
20200715:0309,0.0,0.0,28.46,3.1,0.0
20200715:0409,0.0,0.0,27.4,3.45,0.0
20200715:0509,13.58,3.21,26.56,4.0,0.0
20200715:0609,109.12,15.1,27.3,4.48,0.0
20200715:0709,288.81,27.44,29.73,2.69,0.0
20200715:0809,513.47,40.02,32.46,2.76,0.0
20200715:0909,676.38,52.65,33.82,4.0,0.0
20200715:1009,894.92,64.97,35.31,4.28,0.0
20200715:1109,963.06,75.69,36.98,4.21,0.0
20200715:1209,997.25,78.31,38.41,4.28,0.0
20200715:1309,937.3,69.43,39.2,4.55,0.0
20200715:1409,784.74,57.44,39.84,4.83,0.0
20200715:1509,612.94,44.87,40.13,5.03,0.0
20200715:1609,384.52,32.24,39.96,4.55,0.0
20200715:1709,181.71,19.79,39.68,3.45,0.0
20200715:1809,46.16,7.7,39.35,2.76,0.0
20200715:1909,0.0,0.0,37.13,5.1,0.0
20200715:2009,0.0,0.0,35.76,5.17,0.0
20200715:2109,0.0,0.0,34.62,5.17,0.0
20200715:2209,0.0,0.0,33.36,5.1,0.0
20200715:2309,0.0,0.0,32.13,4.97,0.0
20200716:0009,0.0,0.0,30.98,4.21,0.0
20200716:0109,0.0,0.0,29.94,3.52,0.0
20200716:0209,0.0,0.0,28.96,3.17,0.0
20200716:0309,0.0,0.0,28.03,2.97,0.0
20200716:0409,0.0,0.0,27.24,3.03,0.0
20200716:0509,9.96,3.1,26.58,3.24,0.0
20200716:0609,113.16,15.0,26.59,2.9,0.0
20200716:0709,259.7,27.34,29.08,2.0,0.0
20200716:0809,520.76,39.93,32.23,1.86,0.0
20200716:0909,739.98,52.56,34.27,2.55,0.0
20200716:1009,891.72,64.87,36.07,2.76,0.0
20200716:1109,969.95,75.55,37.67,2.34,0.0
20200716:1209,984.84,78.17,39.11,1.79,0.0
20200716:1309,837.02,69.35,40.34,1.38,0.0
20200716:1409,790.3,57.39,41.17,1.1,0.0
20200716:1509,374.51,44.82,41.79,0.97,0.0
20200716:1609,134.33,32.19,42.07,0.55,0.0
20200716:1709,187.3,19.74,41.93,0.48,0.0
20200716:1809,16.29,7.64,41.65,1.79,0.0
20200716:1909,0.0,0.0,39.07,4.55,0.0
20200716:2009,0.0,0.0,37.3,7.79,0.0
20200716:2109,0.0,0.0,36.07,6.62,0.0
20200716:2209,0.0,0.0,34.8,5.03,0.0
20200716:2309,0.0,0.0,33.48,4.76,0.0
20200717:0009,0.0,0.0,32.38,4.28,0.0
20200717:0109,0.0,0.0,31.38,4.0,0.0
20200717:0209,0.0,0.0,30.39,2.97,0.0
20200717:0309,0.0,0.0,29.32,1.1,0.0
20200717:0409,0.0,0.0,27.59,2.48,0.0
20200717:0509,9.05,2.99,26.82,4.07,0.0
20200717:0609,112.43,14.9,27.09,4.14,0.0
20200717:0709,305.92,27.25,28.61,4.41,0.0
20200717:0809,528.89,39.84,30.29,4.21,0.0
20200717:0909,742.24,52.47,32.12,3.93,0.0
20200717:1009,900.7,64.76,34.02,3.66,0.0
20200717:1109,980.24,75.41,35.7,3.31,0.0
20200717:1209,999.75,78.02,37.02,2.9,0.0
20200717:1309,935.28,69.27,38.07,2.76,0.0
20200717:1409,810.25,57.34,38.88,2.9,0.0
20200717:1509,622.41,44.77,38.48,4.41,0.0
20200717:1609,390.87,32.14,37.15,4.0,0.0
20200717:1709,182.01,19.68,37.11,2.14,0.0
20200717:1809,44.35,7.57,36.7,4.34,0.0
20200717:1909,0.0,0.0,35.15,5.79,0.0
20200717:2009,0.0,0.0,33.91,4.0,0.0
20200717:2109,0.0,0.0,32.86,2.48,0.0
20200717:2209,0.0,0.0,31.71,2.34,0.0
20200717:2309,0.0,0.0,30.52,2.41,0.0
20200718:0009,0.0,0.0,29.55,2.07,0.0
20200718:0109,0.0,0.0,28.87,1.72,0.0
20200718:0209,0.0,0.0,28.21,1.59,0.0
20200718:0309,0.0,0.0,27.72,2.07,0.0
20200718:0409,0.0,0.0,27.4,3.1,0.0
20200718:0509,11.77,2.88,26.45,4.21,0.0
20200718:0609,45.41,14.8,26.44,5.17,0.0
20200718:0709,190.46,27.15,27.63,2.97,0.0
20200718:0809,102.17,39.75,28.35,3.79,0.0
20200718:0909,504.07,52.37,29.62,5.66,0.0
20200718:1009,682.16,64.66,31.0,5.31,0.0
20200718:1109,939.21,75.26,32.23,4.07,0.0
20200718:1209,984.2,77.86,33.39,2.97,0.0
20200718:1309,910.66,69.19,34.23,2.48,0.0
20200718:1409,797.3,57.27,34.98,2.41,0.0
20200718:1509,609.81,44.72,35.58,2.76,0.0
20200718:1609,384.76,32.08,35.26,3.03,0.0
20200718:1709,182.26,19.61,34.4,1.72,0.0
20200718:1809,45.25,7.5,34.24,2.41,0.0
20200718:1909,0.0,0.0,32.96,3.24,0.0
20200718:2009,0.0,0.0,31.66,3.59,0.0
20200718:2109,0.0,0.0,30.59,3.79,0.0
20200718:2209,0.0,0.0,29.57,3.72,0.0
20200718:2309,0.0,0.0,28.57,3.52,0.0
20200719:0009,0.0,0.0,27.65,3.24,0.0
20200719:0109,0.0,0.0,26.67,2.83,0.0
20200719:0209,0.0,0.0,25.67,2.62,0.0
20200719:0309,0.0,0.0,24.69,2.48,0.0
20200719:0409,0.0,0.0,23.82,2.41,0.0
20200719:0509,9.05,2.76,22.99,2.21,0.0
20200719:0609,110.31,14.7,23.25,1.93,0.0
20200719:0709,314.6,27.06,25.58,1.31,0.0
20200719:0809,548.15,39.66,28.4,2.48,0.0
20200719:0909,754.18,52.28,30.07,2.9,0.0
20200719:1009,910.88,64.55,31.58,2.69,0.0
20200719:1109,991.7,75.11,32.97,2.34,0.0
20200719:1209,1016.86,77.7,34.13,2.14,0.0
20200719:1309,942.09,69.09,35.09,2.0,0.0
20200719:1409,820.24,57.21,35.79,1.72,0.0
20200719:1509,629.76,44.66,36.21,1.17,0.0
20200719:1609,400.04,32.02,36.42,0.69,0.0
20200719:1709,181.94,19.55,36.45,0.83,0.0
20200719:1809,44.35,7.42,36.29,1.72,0.0
20200719:1909,0.0,0.0,35.45,3.24,0.0
20200719:2009,0.0,0.0,34.38,4.21,0.0
20200719:2109,0.0,0.0,33.28,4.9,0.0
20200719:2209,0.0,0.0,32.19,5.03,0.0
20200719:2309,0.0,0.0,31.13,4.97,0.0
20200720:0009,0.0,0.0,30.12,4.9,0.0
20200720:0109,0.0,0.0,29.11,4.62,0.0
20200720:0209,0.0,0.0,28.21,4.28,0.0
20200720:0309,0.0,0.0,27.34,3.93,0.0
20200720:0409,0.0,0.0,26.56,3.66,0.0
20200720:0509,6.34,2.65,25.84,3.45,0.0
20200720:0609,108.52,14.59,25.95,3.24,0.0
20200720:0709,315.04,26.96,27.76,3.79,0.0
20200720:0809,539.54,39.56,29.42,4.76,0.0
20200720:0909,741.9,52.18,31.1,5.31,0.0
20200720:1009,882.43,64.43,32.52,5.38,0.0
20200720:1109,960.38,74.95,33.73,5.24,0.0
20200720:1209,975.29,77.53,34.7,5.17,0.0
20200720:1309,912.01,68.99,35.45,5.1,0.0
20200720:1409,799.79,57.14,35.95,5.03,0.0
20200720:1509,623.05,44.59,36.13,4.83,0.0
20200720:1609,393.76,31.96,36.08,4.9,0.0
20200720:1709,185.21,19.47,35.76,5.17,0.0
20200720:1809,44.35,7.33,35.05,5.59,0.0
20200720:1909,0.0,0.0,33.9,5.38,0.0
20200720:2009,0.0,0.0,32.88,5.17,0.0
20200720:2109,0.0,0.0,31.82,5.17,0.0
20200720:2209,0.0,0.0,30.83,5.03,0.0
20200720:2309,0.0,0.0,29.77,4.62,0.0
20200721:0009,0.0,0.0,28.78,4.34,0.0
20200721:0109,0.0,0.0,27.83,4.0,0.0
20200721:0209,0.0,0.0,26.93,3.52,0.0
20200721:0309,0.0,0.0,26.01,3.17,0.0
20200721:0409,0.0,0.0,25.16,2.97,0.0
20200721:0509,7.24,2.53,24.34,2.9,0.0
20200721:0609,108.13,14.49,24.39,2.83,0.0
20200721:0709,316.84,26.86,26.84,3.86,0.0
20200721:0809,546.19,39.47,28.65,4.76,0.0
20200721:0909,736.8,52.08,30.37,5.45,0.0
20200721:1009,875.91,64.32,31.87,5.72,0.0
20200721:1109,978.25,74.79,33.22,5.93,0.0
20200721:1209,998.93,77.36,34.39,5.72,0.0
20200721:1309,924.04,68.88,35.32,5.52,0.0
20200721:1409,826.12,57.06,36.03,5.31,0.0
20200721:1509,637.37,44.52,36.4,5.17,0.0
20200721:1609,398.84,31.89,36.43,5.17,0.0
20200721:1709,186.39,19.39,36.09,5.24,0.0
20200721:1809,42.54,7.24,35.4,5.17,0.0
20200721:1909,0.0,0.0,34.08,4.21,0.0
20200721:2009,0.0,0.0,32.95,3.72,0.0
20200721:2109,0.0,0.0,31.83,3.38,0.0
20200721:2209,0.0,0.0,30.73,3.24,0.0
20200721:2309,0.0,0.0,29.68,3.1,0.0
20200722:0009,0.0,0.0,28.65,2.83,0.0
20200722:0109,0.0,0.0,27.46,2.28,0.0
20200722:0209,0.0,0.0,26.76,1.66,0.0
20200722:0309,0.0,0.0,27.53,1.17,0.0
20200722:0409,0.0,0.0,27.71,0.97,0.0
20200722:0509,6.34,2.41,27.42,0.83,0.0
20200722:0609,106.95,14.38,27.28,0.9,0.0
20200722:0709,318.13,26.77,27.44,1.59,0.0
20200722:0809,550.01,39.37,31.07,2.9,0.0
20200722:0909,749.9,51.98,33.07,3.45,0.0
20200722:1009,892.94,64.2,34.52,3.1,0.0
20200722:1109,966.41,74.62,35.78,2.76,0.0
20200722:1209,991.89,77.17,36.79,2.55,0.0
20200722:1309,917.96,68.77,37.55,2.28,0.0
20200722:1409,805.63,56.97,38.13,2.0,0.0
20200722:1509,622.03,44.45,38.42,1.72,0.0
20200722:1609,395.33,31.81,38.61,1.93,0.0
20200722:1709,185.73,19.31,38.52,2.28,0.0
20200722:1809,42.54,7.15,38.14,2.76,0.0
20200722:1909,0.0,0.0,37.18,3.24,0.0
20200722:2009,0.0,0.0,35.88,3.93,0.0
20200722:2109,0.0,0.0,34.62,4.21,0.0
20200722:2209,0.0,0.0,33.54,4.34,0.0
20200722:2309,0.0,0.0,32.56,4.41,0.0
20200723:0009,0.0,0.0,31.63,4.07,0.0
20200723:0109,0.0,0.0,30.63,3.66,0.0
20200723:0209,0.0,0.0,29.57,3.31,0.0
