time,G(i),H_sun,T2m,WS10m,Int
20200110:2309,0.0,0.0,7.53,2.28,0.0
20200111:0009,0.0,0.0,6.44,2.28,0.0
20200111:0109,0.0,0.0,5.56,2.48,0.0
20200111:0209,0.0,0.0,4.85,2.69,0.0
20200111:0309,0.0,0.0,4.17,2.9,0.0
20200111:0409,0.0,0.0,3.7,2.9,0.0
20200111:0509,0.0,0.0,3.27,3.03,0.0
20200111:0609,0.0,0.0,2.98,3.24,0.0
20200111:0709,14.48,3.29,2.69,3.52,0.0
20200111:0809,468.54,13.89,3.87,3.24,0.0
20200111:0909,681.57,23.13,6.64,3.1,0.0
20200111:1009,907.18,30.34,9.21,3.1,0.0
20200111:1109,967.65,34.72,10.67,3.03,0.0
20200111:1209,985.25,35.55,11.65,3.24,0.0
20200111:1309,882.96,32.69,12.47,3.72,0.0
20200111:1409,530.99,26.64,13.3,4.62,0.0
20200111:1509,554.12,18.21,13.3,4.62,0.0
20200111:1609,154.09,8.15,13.08,4.21,0.0
20200111:1709,0.0,0.0,12.79,3.59,0.0
20200111:1809,0.0,0.0,12.31,3.1,0.0
20200111:1909,0.0,0.0,11.53,2.76,0.0
20200111:2009,0.0,0.0,10.82,3.1,0.0
20200111:2109,0.0,0.0,9.87,2.97,0.0
20200111:2209,0.0,0.0,8.91,2.62,0.0
20200111:2309,0.0,0.0,7.84,2.55,0.0
20200112:0009,0.0,0.0,7.15,2.83,0.0
20200112:0109,0.0,0.0,6.46,3.45,0.0
20200112:0209,0.0,0.0,6.29,3.86,0.0
20200112:0309,0.0,0.0,5.92,4.21,0.0
20200112:0409,0.0,0.0,5.7,4.41,0.0
20200112:0509,0.0,0.0,5.16,4.69,0.0
20200112:0609,0.0,0.0,4.57,4.83,0.0
20200112:0709,17.2,3.31,4.4,5.17,0.0
20200112:0809,434.4,13.94,5.24,5.17,0.0
20200112:0909,699.5,23.2,7.33,6.07,0.0
20200112:1009,881.67,30.45,9.17,6.28,0.0
20200112:1109,926.4,34.85,10.79,5.93,0.0
20200112:1209,975.81,35.72,12.06,5.45,0.0
20200112:1309,852.03,32.87,12.97,5.1,0.0
20200112:1409,720.24,26.82,13.56,5.17,0.0
20200112:1509,477.36,18.39,13.7,5.31,0.0
20200112:1609,297.78,8.32,13.61,5.66,0.0
20200112:1709,0.0,0.0,12.87,4.69,0.0
20200112:1809,0.0,0.0,12.13,4.48,0.0
20200112:1909,0.0,0.0,11.49,5.03,0.0
20200112:2009,0.0,0.0,10.82,5.45,0.0
20200112:2109,0.0,0.0,10.0,5.45,0.0
20200112:2209,0.0,0.0,9.05,5.03,0.0
20200112:2309,0.0,0.0,8.01,4.83,0.0
20200113:0009,0.0,0.0,7.06,4.97,0.0
20200113:0109,0.0,0.0,6.22,4.9,0.0
20200113:0209,0.0,0.0,5.51,4.83,0.0
20200113:0309,0.0,0.0,4.91,5.03,0.0
20200113:0409,0.0,0.0,4.47,5.17,0.0
20200113:0509,0.0,0.0,4.09,5.17,0.0
20200113:0609,0.0,0.0,3.8,5.1,0.0
20200113:0709,13.58,3.34,4.21,4.97,0.0
20200113:0809,469.09,13.99,5.0,4.55,0.0
20200113:0909,706.38,23.28,7.02,5.31,0.0
20200113:1009,862.43,30.56,9.03,5.45,0.0
20200113:1109,933.98,35.0,10.68,4.97,0.0
20200113:1209,890.08,35.89,11.81,4.28,0.0
20200113:1309,822.1,33.06,12.56,3.66,0.0
20200113:1409,715.43,27.01,13.05,3.1,0.0
20200113:1509,556.6,18.57,13.26,2.69,0.0
20200113:1609,271.98,8.49,13.17,2.41,0.0
20200113:1709,0.0,0.0,12.57,1.59,0.0
20200113:1809,0.0,0.0,11.77,1.38,0.0
20200113:1909,0.0,0.0,10.46,1.59,0.0
20200113:2009,0.0,0.0,9.07,1.72,0.0
20200113:2109,0.0,0.0,7.97,2.07,0.0
20200113:2209,0.0,0.0,7.0,2.48,0.0
20200113:2309,0.0,0.0,6.0,2.83,0.0
20200114:0009,0.0,0.0,4.74,2.97,0.0
20200114:0109,0.0,0.0,3.67,2.97,0.0
20200114:0209,0.0,0.0,3.0,3.03,0.0
20200114:0309,0.0,0.0,2.51,3.1,0.0
20200114:0409,0.0,0.0,2.05,3.17,0.0
20200114:0509,0.0,0.0,1.52,3.03,0.0
20200114:0609,0.0,0.0,1.05,2.9,0.0
20200114:0709,124.56,3.38,0.83,2.97,0.0
20200114:0809,446.31,14.05,1.75,2.34,0.0
20200114:0909,692.54,23.37,5.76,1.66,0.0
20200114:1009,858.44,30.68,9.19,1.31,0.0
20200114:1109,946.42,35.15,10.86,1.17,0.0
20200114:1209,927.09,36.07,11.97,0.97,0.0
20200114:1309,857.82,33.25,12.71,0.69,0.0
20200114:1409,753.55,27.2,13.19,0.83,0.0
20200114:1509,583.36,18.76,13.46,1.31,0.0
20200114:1609,291.19,8.67,13.37,1.66,0.0
20200114:1709,0.0,0.0,12.75,1.86,0.0
20200114:1809,0.0,0.0,11.65,2.21,0.0
20200114:1909,0.0,0.0,10.69,2.28,0.0
20200114:2009,0.0,0.0,9.66,2.41,0.0
20200114:2109,0.0,0.0,8.59,2.48,0.0
20200114:2209,0.0,0.0,7.56,2.48,0.0
20200114:2309,0.0,0.0,6.57,2.55,0.0
20200115:0009,0.0,0.0,5.69,2.69,0.0
20200115:0109,0.0,0.0,4.82,2.76,0.0
20200115:0209,0.0,0.0,4.0,2.69,0.0
20200115:0309,0.0,0.0,3.29,2.76,0.0
20200115:0409,0.0,0.0,2.66,2.97,0.0
20200115:0509,0.0,0.0,1.93,2.9,0.0
20200115:0609,0.0,0.0,1.26,2.9,0.0
20200115:0709,131.67,3.42,0.53,3.1,0.0
20200115:0809,450.8,14.11,1.13,2.34,0.0
20200115:0909,692.06,23.46,5.61,1.79,0.0
20200115:1009,866.08,30.81,9.61,2.07,0.0
20200115:1109,924.52,35.31,11.57,2.76,0.0
20200115:1209,893.77,36.25,12.65,3.03,0.0
