time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20130104:2200,11.22,57.0,0.0,0.0,0.0,276.4,5.72,41.0,99971.0
20130104:2300,10.38,61.15,0.0,0.0,0.0,273.8,5.03,37.0,99981.0
20130105:0000,9.51,65.4,0.0,0.0,0.0,271.6,4.76,33.0,99990.0
20130105:0100,8.78,69.5,0.0,0.0,0.0,270.6,4.9,31.0,99990.0
20130105:0200,8.15,73.7,0.0,0.0,0.0,269.2,5.03,31.0,99952.0
20130105:0300,7.61,78.15,0.0,0.0,0.0,268.2,5.17,32.0,99961.0
20130105:0400,7.08,82.85,0.0,0.0,0.0,267.0,5.45,33.0,99981.0
20130105:0500,6.63,86.75,0.0,0.0,0.0,265.0,5.59,35.0,99971.0
20130105:0600,6.28,88.5,0.0,0.0,0.0,264.0,5.86,37.0,100019.0
20130105:0700,6.27,88.75,24.0,341.03,10.0,262.8,6.14,38.0,100058.0
20130105:0800,6.85,86.65,231.0,768.53,49.0,262.8,6.14,40.0,100107.0
20130105:0900,8.96,75.5,430.0,885.73,72.0,265.8,6.48,43.0,100194.0
20130105:1000,11.39,64.4,582.0,913.96,96.0,271.6,7.03,49.0,100155.0
20130105:1100,13.83,54.85,689.0,985.55,87.0,278.2,6.83,52.0,100116.0
20130105:1200,15.89,46.9,713.0,960.67,102.0,285.0,6.69,52.0,99971.0
20130105:1300,17.43,39.4,670.0,929.65,107.0,289.6,6.55,51.0,99835.0
20130105:1400,18.31,34.2,587.0,1021.73,54.0,292.6,6.28,49.0,99719.0
20130105:1500,18.64,32.05,399.0,792.48,90.0,293.4,6.14,44.0,99680.0
20130105:1600,18.43,32.0,197.0,606.37,64.0,292.0,6.14,38.0,99661.0
20130105:1700,17.47,34.25,0.0,0.0,0.0,289.6,5.24,26.0,99699.0
20130105:1800,15.75,38.85,0.0,0.0,0.0,286.4,5.38,17.0,99709.0
20130105:1900,14.57,42.35,0.0,0.0,0.0,282.8,6.28,16.0,99767.0
20130105:2000,13.57,45.25,0.0,0.0,0.0,280.0,6.07,20.0,99777.0
20130105:2100,12.65,47.85,0.0,0.0,0.0,277.4,5.72,25.0,99816.0
20130105:2200,11.77,50.5,0.0,0.0,0.0,274.6,5.38,30.0,99796.0
20130105:2300,10.95,53.1,0.0,0.0,0.0,272.4,5.24,34.0,99777.0
20130106:0000,10.14,55.7,0.0,0.0,0.0,270.2,5.03,39.0,99748.0
20130106:0100,9.33,58.5,0.0,0.0,0.0,268.2,4.76,42.0,99748.0
20130106:0200,8.52,61.5,0.0,0.0,0.0,266.0,4.55,44.0,99729.0
20130106:0300,7.72,64.65,0.0,0.0,0.0,264.0,4.48,44.0,99709.0
20130106:0400,6.97,67.8,0.0,0.0,0.0,261.6,4.41,46.0,99680.0
20130106:0500,6.28,71.05,0.0,0.0,0.0,259.2,4.21,48.0,99690.0
20130106:0600,5.58,74.55,0.0,0.0,0.0,257.2,4.0,50.0,99709.0
20130106:0700,5.18,77.0,24.0,319.78,11.0,256.2,4.0,50.0,99767.0
20130106:0800,5.65,74.8,222.0,663.18,65.0,255.2,3.45,50.0,99806.0
20130106:0900,8.41,62.1,417.0,791.12,97.0,257.6,3.24,46.0,99864.0
