time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20171128:1400,16.62,45.65,419.0,747.09,108.0,303.2,4.07,211.0,96076.0
20171128:1500,16.84,44.35,223.0,441.02,105.0,303.2,4.21,211.0,96000.0
20171128:1600,16.51,45.15,49.0,183.21,33.0,300.0,3.93,208.0,95944.0
20171128:1700,15.36,48.8,0.0,0.0,0.0,298.4,3.31,205.0,95972.0
20171128:1800,14.32,52.4,0.0,0.0,0.0,295.8,3.45,208.0,95982.0
20171128:1900,13.44,54.75,0.0,0.0,0.0,292.6,3.66,213.0,95991.0
20171128:2000,12.73,57.5,0.0,0.0,0.0,292.0,4.21,221.0,96029.0
20171128:2100,12.16,59.7,0.0,0.0,0.0,291.0,4.55,226.0,96029.0
20171128:2200,11.61,61.8,0.0,0.0,0.0,289.8,4.69,230.0,96019.0
20171128:2300,11.14,63.4,0.0,0.0,0.0,290.2,4.76,235.0,95972.0
20171129:0000,10.73,64.45,0.0,0.0,0.0,290.0,4.9,240.0,95925.0
20171129:0100,10.36,65.1,0.0,0.0,0.0,287.4,5.1,245.0,95878.0
20171129:0200,10.07,65.3,0.0,0.0,0.0,288.0,5.24,250.0,95822.0
20171129:0300,9.74,65.75,0.0,0.0,0.0,284.4,5.52,254.0,95803.0
20171129:0400,9.48,66.25,0.0,0.0,0.0,282.0,5.93,258.0,95756.0
20171129:0500,9.33,66.5,0.0,0.0,0.0,281.4,6.28,260.0,95699.0
20171129:0600,9.23,66.75,0.0,0.0,0.0,281.0,6.48,260.0,95728.0
20171129:0700,9.35,65.05,0.0,0.0,0.0,281.0,6.55,258.0,95709.0
20171129:0800,11.04,57.9,292.0,763.16,66.0,282.6,6.55,259.0,95718.0
20171129:0900,13.65,48.25,452.0,806.75,99.0,285.6,7.52,258.0,95728.0
20171129:1000,16.15,40.25,579.0,899.64,97.0,291.0,8.21,254.0,95690.0
20171129:1100,18.11,34.8,630.0,876.59,118.0,295.8,8.83,251.0,95596.0
20171129:1200,19.67,30.85,610.0,811.47,140.0,300.4,9.17,249.0,95473.0
